15:28:16.713 [main] INFO  stepDefinitions.booksAPISteps - <-------------------Response-------------->
15:28:16.729 [main] INFO  stepDefinitions.booksAPISteps - ,-----Status code:------>200
15:28:16.731 [main] INFO  stepDefinitions.booksAPISteps - ,-----Status Line:------>HTTP/1.1 200 OK
15:28:16.732 [main] INFO  stepDefinitions.booksAPISteps - ,-----Response Time:------>416
15:28:16.733 [main] INFO  stepDefinitions.booksAPISteps - ,-----Response Size:------>417
15:28:16.773 [main] INFO  stepDefinitions.booksAPISteps - ,-----All Books:------>[{id=1, name=The Russian, type=fiction, available=true}, {id=2, name=Just as I Am, type=non-fiction, available=false}, {id=3, name=The Vanishing Half, type=fiction, available=true}, {id=4, name=The Midnight Library, type=fiction, available=true}, {id=5, name=Untamed, type=non-fiction, available=true}, {id=6, name=Viscount Who Loved Me, type=fiction, available=true}]
15:28:16.778 [main] INFO  stepDefinitions.booksAPISteps - ,-----All Books:------>[{id=1, name=The Russian, type=fiction, available=true}, {id=2, name=Just as I Am, type=non-fiction, available=false}, {id=3, name=The Vanishing Half, type=fiction, available=true}, {id=4, name=The Midnight Library, type=fiction, available=true}, {id=5, name=Untamed, type=non-fiction, available=true}, {id=6, name=Viscount Who Loved Me, type=fiction, available=true}]
15:28:16.783 [main] INFO  stepDefinitions.booksAPISteps - ,-----All Books:------>[{id=1, name=The Russian, type=fiction, available=true}, {id=2, name=Just as I Am, type=non-fiction, available=false}, {id=3, name=The Vanishing Half, type=fiction, available=true}, {id=4, name=The Midnight Library, type=fiction, available=true}, {id=5, name=Untamed, type=non-fiction, available=true}, {id=6, name=Viscount Who Loved Me, type=fiction, available=true}]
15:28:16.970 [main] INFO  stepDefinitions.booksAPISteps - ,-----Book Name by id:------>The Vanishing Half
15:28:16.988 [main] INFO  stepDefinitions.booksAPISteps - ,-----Book Type:------>[fiction, non-fiction, fiction, fiction, non-fiction, fiction]
15:28:17.000 [main] INFO  stepDefinitions.booksAPISteps - ,-----Book Availability List:------>[true, false, true, true, true, true]
15:28:17.007 [main] INFO  stepDefinitions.booksAPISteps - ,-----All Books:------>[{id=1, name=The Russian, type=fiction, available=true}, {id=2, name=Just as I Am, type=non-fiction, available=false}, {id=3, name=The Vanishing Half, type=fiction, available=true}, {id=4, name=The Midnight Library, type=fiction, available=true}, {id=5, name=Untamed, type=non-fiction, available=true}, {id=6, name=Viscount Who Loved Me, type=fiction, available=true}]
